설치연도,업체명,소재지도로명주소,소재지지번주소,방지시설종류,시간당 방지 용량(m3 per min),데이터기준일자
2019,(주)선경내셔날,경기도 안산시 단원구 별망로159번길 18(성곡동 673-22),,흡착에의한시설,250,2021-09-10
2019,(주)신동아전자,,경기도 안산시 단원구 원시동 779-5,흡수에의한시설,440,2021-09-10
2019,성원산업,경기도 안산시 단원구 첨단로 623(원시동),,여과에의한시설,450,2021-09-10
2019,(주)수신화학,경기도 안산시 단원구 해안로213번길 26(원시동),,흡수에의한시설,200,2021-09-10
2019,(주)티에스텍,,경기도 안산시 단원구 원시동 737-3,흡착에의한시설,150,2021-09-10
2019,(주)신대양정비,경기도 안산시 상록구 용담로 83(팔곡이동),,여과및흡착에의한시설,380,2021-09-10
2019,안산사동자동차공업사,경기도 안산시 상록구 선진로 30(사동),,여과및흡착에의한시설,380,2021-09-10
2019,경수산업,경기도 안산시 단원구 성곡로 134번길 24(성곡동),,흡착에의한시설,350,2021-09-10
2019,명성금속,경기도 안산시 단원구 동산로27번길 96 01-4,,흡수에의한시설,500,2021-09-10
2019,세기자동차정비㈜,경기도 안산시 상록구 선진안길 25(사동),,여과및흡착에의한시설,420,2021-09-10
2019,(주)대신카독크,경기도 안산시 상록구 선진안길 103(사동),,여과및흡착에의한시설,400,2021-09-10
2019,(주)사동현대서비스,경기도 안산시 상록구 선진6길 32(사동),,여과및흡착에의한시설,400,2021-09-10
2019,서진모터스,,경기도 안산시 상록구 본오동 729-8,여과및흡착에의한시설,400,2021-09-10
2019,미래자동차정비,경기도 안산시 상록구 선진로 21(사동),,여과및흡착에의한시설,380,2021-09-10
2020,만석산업,,경기도 안산시 단원구 원시동 769-1 2호 1층,흡수에의한시설,1380,2021-09-10
2020,명진금속공업㈜,경기도 안산시 단원구 산단로 35번길 76,,흡수에의한시설,350,2021-09-10
2020,㈜대진 안산공장,경기도 안산시 단원구 신원로 79(성곡동 635-7),,흡수에의한시설,650,2021-09-10
2020,오성케미칼,경기도 안산시 단원구 신원로 79(성곡동 나동3호),,흡수에의한시설,730,2021-09-10
2020,㈜우진도금,경기도 안산시 단원구 신원로 79(성곡동 608B-4L),,흡수에의한시설,650,2021-09-10
2020,㈜지에스캠텍,경기도 안산시 단원구 신원로 79(성곡동 나동2호),,흡수에의한시설,420,2021-09-10
2020,선호피엔에스㈜,경기도 안산시 단원구 범지기로 152(원시동),,여과에의한시설+흡착에의한시설,500+500,2021-09-10
2020,키스트론㈜,경기도 안산시 단원구 산단로 68번길 37(원시동),,흡수에의한시설,1000,2021-09-10
2020,㈜대룡이앤씨,경기도 안산시 단원구 목내로122번길 46,,흡수에의한시설,250,2021-09-10
2020,신원기업,,경기도 안산시 단원구 목내동 446-15 4롯트,여과집진시설,300,2021-09-10
2020,성원산업,경기도 안산시 단원구 첨단로 623(원시동 813-13),,여과집진시설,400,2021-09-10
2020,세창금속,경기도 안산시 단원구 동산로27번길 96(원시동 769-2),,흡수에의한시설,1000,2021-09-10
2020,㈜케이알피,,경기도 안산시 단원구 성곡동 634-1,흡수에의한시설,600,2021-09-10
2020,세원금속,경기도 안산시 상록구 도금당지2길 31-1(팔곡이동),,흡수에의한시설,1000,2021-09-10
2020,㈜이노바,경기도 안산시 단원구 별망로 133번길 505호,,RTO,1000,2021-09-10
2020,㈜보은물산,경기도 안산시 단원구 시우로 92,,전기집진시설,350,2021-09-10
2020,㈜영일도금,경기도 안산시 단원구 신원로 79(성곡동 635-7),,흡수에의한시설,420,2021-09-10
2020,㈜양지피앤알,경기도 안산시 상록구 선진2길 6(사동),,흡수에의한시설,150,2021-09-10
2020,㈜중앙카독크,,경기도 안산시 상록구 월피동 482,여과및흡착에의한시설,400,2021-09-10
2020,쌍용자동차 안산정비사업소㈜,경기도 안산시 상록구 오목로13길 15,,여과및흡착에의한시설,420,2021-09-10
2020,주식회사 현대동일공업사,경기도 안산시 상록구 모목로 165,,여과및흡착에의한시설,420,2021-09-10
2020,㈜제이미크론,경기도 안산시 단원구 해봉로 273번길 12,,흡수에의한시설,400,2021-09-10
2020,유일금속,경기도 안산시 상록구 도금단지2길 38,,흡수에의한시설,1100,2021-09-10
2020,㈜비츠로테크,경기도 안산시 단원구 별망로 327(성곡동 605-2),,흡수에의한시설,450,2021-09-10
2020,㈜창강화학,,경기도 안산시 단원구 성곡동 642-2,흡수에의한시설,200,2021-09-10
2020,㈜승화산업,경기도 안산시 단원구 신원로 79 나동4호(성곡동 635-7),,흡수에의한시설,550,2021-09-10
2020,신광금속,경기도 안산시 상록구 도금단지 2길 33,,흡수에의한시설,900,2021-09-10
2020,대성특수강관㈜,경기도 안산시 단원구 별망로 19,,흡수에의한시설,860,2021-09-10
2020,㈜한양종합열처리,경기도 안산시 단원구 원시로 204(원시동 723-3),,흡수에의한시설,300,2021-09-10
2020,㈜안산모터스,경기도 안산시 단원구 연수원로 17(원시동),,흡착에의한시설,400,2021-09-10
2020,굿모닝공업사,경기도 안산시 상록구 오목로13길 11,,흡착에의한시설,400,2021-09-10
2020,우영,경기도 안산시 단원구 목내로122번길 18,,흡수에의한시설,600,2021-09-10
2020,남양부직포㈜,경기도 안산시 단원구 해안로 172 7B-49L,,흡착에의한시설,700,2021-09-10
2020,와이피티㈜,,경기도 안산시 단원구 성곡동 632-11,흡수에의한시설,600,2021-09-10
2020,청원자동차정비㈜,경기도 안산시 상록구 오목로 171(본오동),,여과및흡착에의한시설,400,2021-09-10
2020,㈜신광자동차정비,경기도 안산시 단원구 선이로 33(선부동),,여과및흡착에의한시설,280,2021-09-10
2020,선부자동차정비㈜,경기도 안산시 단원구 선이로4길 5(선부동),,여과및흡착에의한시설,250,2021-09-10
2020,제일카독크,경기도 안산시 상록구 선진5길 14(사동),,여과및흡착에의한시설,250,2021-09-10
2020,상록한마음모터스㈜,경기도 안산시 상록구 안산천서로 271,,여과및흡착에의한시설,330,2021-09-10
2020,㈜안산종합공업사,경기도 안산시 상록구 선진6길 46(사동),,여과및흡착에의한시설,320,2021-09-10
2020,장군자동차정비공업사,,경기도 안산시 상록구 사동 1490-5,여과및흡착에의한시설,300,2021-09-10
2020,현대모터스,경기도 안산시 상록구 선진5길 3(사동),,여과및흡착에의한시설,300,2021-09-10
2020,㈜형제자동차정비,경기도 안산시 상록구 안산선서로6길 6(월피동),,여과및흡착에의한시설,300,2021-09-10
2020,서진모터스,경기도 안산시 상록구 각골동로 8(본오동),,여과및흡착에의한시설,300,2021-09-10
2020,㈜파인,경기도 안산시 단원구 원시로 268(원시동 725-12),,흡착에의한시설+흡수에의한시설,500+500,2021-09-10
2020,삼일금속주식회사,경기도 안산시 상록구 도금단지2길 39(팔곡이동),,흡수에의한시설,1400,2021-09-10
2020,㈜한국소둔열처리,경기도 안산시 단원구 원시로 106번길,,흡착에의한시설,800,2021-09-10
2020,㈜다산,경기도 안산시 단원구 만해로169번길 56(신길동),,흡수에의한시설,420,2021-09-10
2020,㈜엠케이켐앤텍,경기도 안산시 단원구 원시로 71(목내동),,흡수에의한시설,900,2021-09-10
2020,㈜그린플렉스,경기도 안산시 단원구 신원로341번길 13(목내동 450-4),,흡수에의한시설,200,2021-09-10
2020,㈜삼영금속,경기도 안산시 단원구 목내로122번길 189(목내동395-1),,흡수에의한시설,600,2021-09-10
2020,㈜송웅피앤텍,경기도 안산시 단원구 산단로 241(원시동 725-3),,흡수에의한시설,470,2021-09-10
2020,㈜오앤에스,경기도 안산시 성곡동 번영로186번길 30,,흡수에의한시설,100,2021-09-10
2020,㈜지피엔,경기도 안산시 단원구 목내로119번길 22(목내동 447-5),,흡수에의한시설,400,2021-09-10
2020,㈜케이피테크놀로지,경기도 안산시 단원구 목내로119번길 26 304호,,흡수에의한시설,400,2021-09-10
2020,㈜파워셀,경기도 안산시 단원구 산단로 241(원시동),,흡수에의한시설,450,2021-09-10
2020,E-포밍,,경기도 안산시 단원구 목내동 375-1,흡수에의한시설,240,2021-09-10
2020,백운금속,경기도 안산시 단원구 목내로122번길 18(목내동),,흡수에의한시설,480,2021-09-10
2020,삼일이디㈜,경기도 안산시 단원구 동산로27번길 86-16(원시동),,흡수에의한시설,450,2021-09-10
2020,송웅에코피㈜,경기도 안산시 단원구 범지기로141번길 30,,흡수에의한시설,600,2021-09-10
2020,유진정밀,경기도 안산시 단원구 산단로 30,,흡수에의한시설,250,2021-09-10
2020,자연산업,경기도 안산시 단원구 산단로 30,,원심력집진시설+흡수에의한시설,150+220,2021-09-10
2020,한솔금속,경기도 안산시 단원구 목내로122번길 18,,흡수에의한시설,800,2021-09-10
2020,우덕에코피,경기도 안산시 단원구 산단로 241,,흡수에의한시설,550,2021-09-10
2020,비노텍㈜,경기도 안산시 단원구 해안로 308(원시동),,여과집진시설,2400,2021-09-10
2020,새한금속,경기도 안산시 단원구 산단로 112-9,,흡수에의한시설,1500,2021-09-10
2020,삼일산업,경기도 안산시 단원구 진흥로38번길 86(성곡동),,여과집진시설,600,2021-09-10
2020,이화금속,경기도 안산시 단원구 동산로27번길 96 (원시동),,흡수에의한시설,500,2021-09-10
2020,주식회사 등우금속,경기도 안산시 단원구 동산로27번길 96 1층(원시동),,흡수에의한시설,1000,2021-09-10
2020,한성금속,경기도 안산시 단원구 동산로27번길 96 (원시동),,흡수에의한시설,800,2021-09-10
2020,한빛금속㈜,경기도 안산시 단원구 동산로27번길 96 (원시동),,흡수에의한시설,700,2021-09-10
2020,새한주식회사 안산공장,경기도 안산시 단원구 범지기로 40(목내동),,흡수에의한시설,1300,2021-09-10
2020,㈜신명에스엠피,,경기도 안산시 단원구 목내동 405-4,흡수에의한시설,850,2021-09-10
2020,효진금속,경기도 안산시 단원구 목내로 122번길,,흡수에의한시설,400,2021-09-10
2020,삼우금속,경기도 안산시 상록구 용담로 93,,흡수에의한시설,400,2021-09-10
2020,㈜세원피앤씨,경기도 안산시 단원구 산단로 35번길 76 가동101호,,흡수에의한시설,750,2021-09-10
2020,이원금속,경기도 안산시 단원구 산단로 68번길 70,,흡수에의한시설,1200,2021-09-10
2020,상마금속,경기도 안산시 단원구 산단로 35번길 76(목내동 405-4),,흡수에의한시설,650,2021-09-10
2020,㈜우주플레이팅,경기도 안산시 단원구 산단로 83번길 51,,흡수에의한시설,400,2021-09-10
2020,㈜신성프리시젼,경기도 안산시 단원구 별망로 576,,흡수에의한시설,400,2021-09-10
2020,나인테크㈜,경기도 안산시 단원구 지원로 107-4(성곡동),,흡수에의한시설,600,2021-09-10
2020,㈜창대도금,경기도 안산시 단원구 산단로 35번길76,,흡수에의한시설,530,2021-09-10
2020,선도전기㈜,경기도 안산시 단원구 원시로 86,,여과집진시설,560,2021-09-10
2021,주식회사 태동씨엔에스,경기도 안산시 단원구목내로 32 (목내동),,흡수에의한시설,70,2021-09-10
2021,성훈스텐,경기도 안산시 단원구 정왕천동로36번길 38(성곡동),,여과집진시설,250,2021-09-10
2021,대일개발(주),경기도 안산시 단원구 지원로 7(성곡동),,무촉매환원시설(SNCR),2200,2021-09-10
2021,(주)유니켐,경기도 안산시 단원구 해봉로 38(성곡동),,흡수에의한시설,550,2021-09-10
2021,주식회사 경민보드,경기도 안산시 단원구 번영로82번길 14(성곡동 715-2),,여과집진시설,200,2021-09-10
2021,대명도금,,경기도 안산시 단원구 목내동 395-1,흡수에의한시설,300,2021-09-10
2021,보경산업,경기도 안산시 단원구 목내로 122번길 18,,흡수에의한시설,400,2021-09-10
2021,한국명인금속,,경기도 안산시 단원구 목내동 395-1,흡수에의한시설,550,2021-09-10
2021,현진전자(주),,경기도 안산시 단원구 원시동 725-4 반월공단 1B 4L,흡수에의한시설,800,2021-09-10
2021,(주)에이엘에스,경기도 안산시 단원구 번영로 73,,흡수에의한시설,1700,2021-09-10
2021,(주)한성피앤피,경기도 안산시 상록구 용담로 99 (팔곡이동) ,,흡수에의한시설,600,2021-09-10
2021,영진금속,경기도 안산시 단원구 목내로108번길 22(목내동),,흡수에의한시설,1200,2021-09-10
2021,1급현대정비,경기도 안산시 단원구 선이로 43 (선부동),,흡수에의한시설,400,2021-09-10
2021,광명금속,경기도 안산시 단원구 신원로 79(성곡동),,흡수에의한시설,900,2021-09-10
2021,주식회사 한국기업,경기도 안산시 단원구 신원로 111,,흡수에의한시설,430,2021-09-10
2021,하이트론 주식회사,경기도 안산시 단원구 신원로 105,,흡수에의한시설,500,2021-09-10
2021,주식회사 스마트코리아피씨비,경기도 안산시 단원구 만해로 229번길 21,,흡수에의한시설,800,2021-09-10
2021,주식회사 써피텍,경기도 안산시 단원구 별망로 346,,흡수에의한시설,1200,2021-09-10
2021,제이피아이헬스케어㈜,경기도 안산시 단원구 성곡로 22번길 43,,흡착에의한시설,300,2021-09-10
2021,지디씨㈜,경기도 안산시 단원구 별망로 415,,흡착에의한시설,350,2021-09-10
2021,㈜이피코리아,경기도 안산시 상록구 도금단지2길 22,,흡수에의한시설,500,2021-09-10
2021,(주)대천텍스타일,경기도 안산시 단원구 신안산대학로 29(초지동),,흡수에의한시설,250,2021-09-10
2021,백상산업,경기도 안산시 단원구 해안로 85(목내동),,흡수에의한시설,1500,2021-09-10
2021,스탠다드인터내셔널(주),경기도 안산시 단원구 신원로 355,,여과집진시설,650,2021-09-10
2021,평안제관(주)금속인쇄공장,경기도 안산시 단원구 별망로 521,,흡착에의한시설,700,2021-09-10
2021,㈜몰텍스안산,경기도 안산시 상록구 안산테콤길 57 (사사동),,흡수에의한시설,230,2021-09-10
2021,(주)하이피텍,경기도 안산시 단원구 산단로 35번길36(원시동),,흡수에의한시설,800,2021-09-10
2021,㈜동진엠아이 안산지점,경기도 안산시 단원구 지원로115번길 26(성곡동),,여과집진시설,720,2021-09-10
2021,(주)라온씨앤에프,경기도 안산시 단원구 번영로 94번길 35 (성곡동),,여과집진시설,300,2021-09-10
2021,(주)경기금속,경기도 안산시 단원구 범지기로 40,,흡수에의한시설,930,2021-09-10
