조사지역종류,조사지역명,시도,시군구,읍면동,토지지목,지역구분,면적(제곱미터),시료번호,시료깊이(미터),카드뮴 오염도(mg_kg),구리 오염도(mg_kg),비소 오염도(mg_kg),수은 오염도(mg_kg),납 오염도(mg_kg),6가 크롬 오염도(mg_kg),아연 오염도(mg_kg),니켈 오염도(mg_kg),불소 오염도(mg_kg),유기인 오염도(mg_kg),PCBs 오염도(mg_kg),시안 오염도 (mg_kg),페놀류 오염도 (mg_kg),벤젠 오염도(mg_kg),톨루엔 오염도(mg_kg),에틸벤젠 오염도(mg_kg),크실렌 오염도(mg_kg),TPH 오염도(mg_kg),TCE 오염도(mg_kg),PCE 오염도(mg_kg),벤조(a)피렌 오염도(mg_kg),"1,2-디클로로에탄 오염도(mg_kg)",다이옥신(듀란포함) 오염도(pg-TEQ_g),PH 오염도(mg_kg)
교통관련시설지역,㈜**주유소,경기도,안산시 상록구,성포동,대,2지역,1510,1977-01-01,0.15~1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
교통관련시설지역,㈜**주유소,경기도,안산시 상록구,성포동,대,2지역,1510,1977-01-02,3~4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
교통관련시설지역,㈜**주유소,경기도,안산시 단원구,신길동,주유소용지,3지역,1100,1978-01-01,0.15~1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
교통관련시설지역,㈜**주유소,경기도,안산시 단원구,신길동,주유소용지,3지역,1100,1978-01-02,3~4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
교통관련시설지역,**주유소,경기도,안산시 단원구,신길동,주유소용지,3지역,1054,1979-01-01,0.15~1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
교통관련시설지역,**주유소,경기도,안산시 단원구,신길동,주유소용지,3지역,1054,1979-01-02,3~4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
산업단지 및 공장지역,**공업㈜,경기도,안산시 단원구,성곡동 ,공장용지,3지역,9994,1980-01-01,0.15~1,0.31,31.9,10,0,70.6,0,320.6,26.1,84,0,0,0,0.08,0,0,0,0,57,0,0,0,0,0,5.7
산업단지 및 공장지역,**공업㈜,경기도,안산시 단원구,성곡동 ,공장용지,3지역,9994,1980-01-02,3~4,0.23,24.1,4.78,0,44.1,0,81.1,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,원시동 ,공장용지,3지역,4959,1981-01-01,0.15~1,0.21,48.5,11.58,0,83.3,0,181,21.4,104,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,8.8
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,원시동 ,공장용지,3지역,4959,1981-01-02,1~2,0.32,93.4,11.58,0,181,0,434.3,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,신길동 ,공장용지,3지역,16371,1982-01-01,0.15~1,0.16,18,4.26,0,21.1,0,68.5,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,신길동 ,공장용지,3지역,16371,1982-01-02,2~3,0,16.1,3.59,0,29.8,0,56.2,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,성곡동 ,공장용지,3지역,17646,1983-01-01,0.15~1,0.13,27.7,6.12,0,28,0,60.4,21,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,성곡동 ,공장용지,3지역,17646,1983-01-02,2~3,0.6,26.9,61.89,0,46,0,125.3,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,성곡동 ,공장용지,3지역,14681,1984-01-01,0.15~1,0.32,32.8,24.09,0,20.1,0,86.8,13,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,성곡동 ,공장용지,3지역,14681,1984-01-02,2~3,0.4,59,23.09,0,33.5,0,83.8,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,원시동 ,공장용지,3지역,2212,1985-01-01,0.15~0.9,0.67,70.4,10.53,0.06,104.2,0,194.4,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.372,8.8
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,원시동 ,공장용지,3지역,2688,1986-01-01,0.15~1,0.19,123.3,12.42,0,42,0,59.5,14.9,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358,7.5
산업단지 및 공장지역,㈜**,경기도,안산시 단원구,원시동 ,공장용지,3지역,2688,1986-01-02,2~3,0,217.1,6.83,0,49.5,0,36.4,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
